chemist	nhà hóa học
submissive	phục tùng
tedious	tẻ nhạt
elicit	khơi gợi
contentment	sự hài lòng
neutral	trung lập
factual	sự thật
persist	tiếp tục
accomplish	hoàn thành
relieve	dịu đi
conclude	kết luận
energise	tiếp thêm năng lượng
consecutive	liên tiếp
notion	ý tưởng
stimuli	kích thích
variable	biến
respite	sự nghỉ ngơi
replenishment	bổ sung
replicate	sao chép
sculptor	nhà điêu khắc
appoint	bổ nhiệm
award	phần thưởng
originality	tính độc đáo
merit	công lao
movement	sự chuyển động
resignation	sự từ chức
enthusiastically	nhiệt tình
shortage	thiếu
sketch	phác thảo
miner	thợ mỏ
employ	thuê
primitive	nguyên thủy
distort	biến dạng
bear a resemblance to	có vẻ giống với
signify	biểu thị
critic	nhà phê bình
menace	mối đe dọa
owe	nợ
acclaim	hoan hô
initial	ban đầu
inspiration	cảm hứng
portable	cầm tay
purify	thanh lọc
desalination	khử muối
enormous	lớn lao
carbon footprint	dấu chân carbon
sustain	duy trì
distill	chưng cất
particle	hạt
trap	cạm bẫy
transmit	truyền tải
solar panel	tấm pin mặt trời
scarcity	sự khan hiếm
intensive	căng
off the grid	sống ngoài lưới điện
rural	nông thôn
municipal	thành phố
unavailable	không có sẵn
military	quân đội
envision	hình dung
humanitarian	nhân đạo
bottom line	tóm lại
genre	thể loại
oral	miệng
indeed	thực vậy
assumption	giả định
cautionary	cảnh báo
narrative	chuyện kể
gruesome	ghê rợn
horrific	kinh hoàng
perennial	cây lâu năm
amuse	giải trí
dispose	xử lý
fundamental	cơ bản
constant	không thay đổi
intricate	phức tạp
far-reaching	có tầm ảnh hưởng sâu rộng
far-reaching consequences	hậu quả sâu rộng
extreme condition	điều kiện cực đoan
underneath	bên dưới
comparative	so sánh
adipose	mỡ
shed light on (something)	làm sáng tỏ (một điều gì đó)
mutation	đột biến
osteoporosis	loãng xương
food starvation	nạn đói
remodel	cải tạo
undergo	trải qua
maternity	thai sản
den	cái hang
cub	con non
deplete	cạn kiệt
reserve	dự trữ
emerge from	xuất hiện từ
to resort to something	dùng đến điều gì đó
reformation	cải cách
bedridden	nằm liệt giường
astronaut	phi hành gia
humanity	nhân loại
taken into consideration ~ take sth into account	được xem xét ~ tính đến điều gì đó
primate	linh trưởng
anecdotal	giai thoại
manipulate	thao túng
dislodge	làm bật ra
out of one's reach	ngoài tầm với
barrel	thùng
in an attempt to	trong nỗ lực
deliberate	cố ý
pile	đống
agile	linh hoạt
thought-out	suy nghĩ kỹ lưỡng
astonishing	đáng kinh ngạc
hold enormous interest	thu hút sự quan tâm rất lớn
tribute	tưởng niệm
monument	đài kỷ niệm
clay	đất sét
deceased	người đã chết
official	chính thức
conceive of	hình dung ra
tomb	lăng mộ
stack	ngăn xếp
slab	tấm
progressively	dần dần
Step Pyramid	Kim tự tháp bậc thang
reign	triều đại
attribute	thuộc tính
thoroughly	hoàn toàn
break up	chia tay
shrine	đền thờ
priest	linh mục
living quarters	nơi ở
cut into something	cắt thành cái gì đó
ring	nhẫn
trench	mương
incorporated	được thành lập
unwanted	không mong muốn
carve	chạm khắc
burial	chôn cất
chamber	buồng
tunnel	đường hầm
discourage from	ngăn cản khỏi
mysterious	bí ẩn
stone vessels	bình đá
vessel	tàu
storeroom	kho chứa đồ
underground passage	lối đi ngầm
inscribe	khắc
archaeologist	nhà khảo cổ học
excavate	khai quật
predecessor	tiền nhiệm
dump into	đổ vào
shafts	trục
precaution	biện pháp phòng ngừa
at some point	vào một thời điểm nào đó
overlook	tầm nhìn
astonish	ngạc nhiên
amaze	tuyệt vời
hold a place	giữ một vị trí
exaggeration	sự phóng đại
constitute	cấu thành
as a whole	nhìn chung
revolutionary	cách mạng
archetype	nguyên mẫu
occupation	nghề nghiệp
novice	người mới
a thing of the past	một chuyện của quá khứ
seize (the opportunity)/ chance	nắm bắt (cơ hội)/ cơ hội
enforce	thực thi
pre-empt (the coming changes)	ngăn chặn (những thay đổi sắp tới)
subsistence agriculture	nông nghiệp tự cung tự cấp
alongside	cùng với
disruptive	gây rối
algorithm	thuật toán
scenario	kịch bản
transparent	trong suốt
dilemma	tình huống khó xử
trajectory	quỹ đạo
pensioned	đã nghỉ hưu
envisage	hình dung
multistage	nhiều giai đoạn
retraining	đào tạo lại
by choice	do lựa chọn
fallacy	ngụy biện
apocalyptic	tận thế
misguided	sai lầm
advent	sự đến
redundance	dư thừa
redeployment	tái triển khai
a call to arms	lời kêu gọi vũ trang
bold	in đậm
astounding	kinh ngạc
humankind	nhân loại
pronounce	phát âm
attach	gắn
decorate	trang trí
plenty of	rất nhiều
humanoid	hình người
enrol	tham gia
originally	ban đầu
premises	cơ sở
refurbishment	tân trang
reception	thu nhận
corridor	hành lang
warehouse	kho
lorry	xe tải
layout	cách trình bày
courtyard	sân
letdown	sự thất vọng
evolution	sự tiến hóa
put off	hoãn
rationale	lý do
evaluative	đánh giá
amend	sửa đổi
precise	chính xác
vague	mơ hồ
predator	kẻ săn mồi
motion	cử động
exploit	khai thác
cycle	xe đạp
continuity	sự liên tục
brainstorm	động não
appeal	bắt mắt
practical	thực tế
philosophy	triết lý
publication	ấn phẩm
external	bên ngoài
capitalism	chủ nghĩa tư bản
irrational	phi lý
faulty	bị lỗi
obstacle	trở ngại
insight	cái nhìn thấu suốt
virtuous	đức hạnh
transform	biến đổi
resilience	khả năng phục hồi
frame	khung
parcel	bưu kiện
sort	loại
touch up	chỉnh sửa
contrast	sự tương phản
fragile	dễ vỡ
alter	thay đổi
cardboard	bìa cứng
precious	quý giá
council	hội đồng
commission	nhiệm vụ
construct	xây dựng
existing	hiện có
catering >> cater	dịch vụ ăn uống >> phục vụ ăn uống
queue	xếp hàng
cycling	đạp xe
cope with	đối phó với
predict	dự đoán
coincidence	sự trùng hợp
controversial	gây tranh cãi
methodology	phương pháp luận
justify	biện minh
procedure	thủ tục
ethical	đạo đức
ensure	đảm bảo
experiment	cuộc thí nghiệm
prescribe	kê đơn
accessible	có thể truy cập
fitness	sự thích hợp
function	chức năng
retain	giữ lại
isolation	sự cách ly
barrier	rào cản
well-being	hạnh phúc
instructor	giảng viên
waterproof	chống thấm nước
tent	lều
spare	dự phòng
juggle	tung hứng
lively	sống động
remote	xa
cottage	ngôi nhà tranh
sociable	hòa đồng
pest	sâu bệnh
produce	sản xuất
perk	đặc quyền
sweetener	chất làm ngọt
unaware	không nhận thức được
grind	xay
manufacturer	nhà sản xuất
deliberately	cố ý
confusing	gây nhầm lẫn
overestimate	đánh giá quá cao
escalator	thang cuốn
modification	sửa đổi
absorb	hấp thụ
homely	giản dị
vanish	biến mất
hardship	khó khăn
rewarding	phần thưởng
minimal	tối thiểu
flat	phẳng
needle	cây kim
rough	thô
knit	đan
wool	len
heating	sưởi ấm
cozy	ấm áp
widen	mở rộng
path	con đường
postpone	hoãn
funding	tài trợ
notice	để ý
erect	thẳng đứng
switch off	tắt
engine	động cơ
bike rack	giá để xe đạp
commuter	người đi làm
pedestrian	đi bộ
fume	khói
congestion	sự tắc nghẽn
lane	làn đường
publicity	quảng cáo
instant	lập tức
tram	xe điện
spice	gia vị
colony	thuộc địa
dried	khô
skeleton	bộ xương
uneven	không bằng phẳng
enable	cho phép
vegetation	thảm thực vật
agriculture	nông nghiệp
sailor	thủy thủ
clumsy	hậu đậu
skull	hộp sọ
ripe	chín
locate	định vị
figure	nhân vật
vast	rộng lớn
majority	số đông
county	quận
creature	sinh vật
giant	người khổng lồ
previously	trước đây
assign	giao phó
historian	nhà sử học
origin	nguồn gốc
enigmatic	bí ẩn
convinced	thuyết phục
prehistoric	thời tiền sử
artistic	nghệ thuật
monk	tu sĩ
overlie	che
reveal	tiết lộ
gleaming	sáng bóng
visible	dễ thấy
associate	kết hợp
bother	làm phiền
expose	phơi ra
outline	phác thảo
exactly	chính xác
situate	đặt
steep	dốc
slope	độ dốc
track	theo dõi
surrounding	xung quanh
carry out	tiến hành
archaeological	khảo cổ học
construction	sự thi công
goddess	nữ thần
fertility	khả năng sinh sản
worship	tôn thờ
ritual	nghi thức
attest	chứng thực
depiction	sự mô tả
carving	chạm khắc
native	tự nhiên
mythology	thần thoại
cemetery	nghĩa trang
appearance	vẻ bề ngoài
emblem	biểu tượng
perhaps	có lẽ
regularly	thường xuyên
fairly	khá
testament	di chúc
custom	phong tục
millennium	thiên niên kỷ
elegant	thanh lịch
landscape	phong cảnh
preserve	bảo tồn
adequate	đủ
range	phạm vi
tribal	bộ lạc
inhabitant	cư dân
alternatively	một cách khác
intend	có ý định
gesture	cử chỉ
lessen	giảm bớt
fascinating	lôi cuốn
glimpse	thoáng nhìn
pose	tư thế
exaggerate	nói quá
plentiful	dồi dào
bacteria	vi khuẩn
populate	dân cư
outlive	sống lâu hơn
tend	có khuynh hướng
vastly	bao la
relatively	tương đối
behave	ứng xử
describe	mô tả
confusion	lú lẫn
extraordinarily	đặc biệt
potent	mạnh mẽ
microscope	kính hiển vi
magnify	phóng to
teem with	tràn ngập
tiny	nhỏ xíu
endure	chịu đựng
plea	lời thú tội
tolerance	sức chịu đựng
vital	thiết yếu
base on	dựa trên
foe	kẻ thù
villain	nhân vật phản diện
symbiotic	cộng sinh
mutually	tương hỗ
destructive	phá hoại
overuse	lạm dụng
antibiotic	thuốc kháng sinh
excessive	quá mức
allergy	dị ứng
immune system	hệ miễn dịch
obsession	sự ám ảnh
hygiene	vệ sinh
soar	bay lên
inflammatory	viêm
norm	chuẩn mực
detergent	chất tẩy rửa
germ	mầm
exposure	phơi bày
fungus	nấm
wipe out	xóa sổ
halt	dừng lại
luminescent	phát quang
dengue fever	sốt xuất huyết
infect	lây nhiễm
infection	sự nhiễm trùng
ward	phường
invisible	vô hình
the naked eye	mắt thường
ubiquitous	phổ biến
inhabit	cư trú
utterly	hoàn toàn
absorbing	hấp thụ
mess with	làm phiền với
peril	nguy hiểm
dub	lồng tiếng
context	bối cảnh
contentedly	một cách mãn nguyện
deadly	chết người
constantly	liên tục
swallow	nuốt
swap	tráo đổi
adept	người thành thạo
anache	đau nhức
knack	kỹ năng
term	thuật ngữ
enthralling	hấp dẫn
bizarre	kỳ lạ
acknowledge	thừa nhận
supposedly	được cho là
nurture	nuôi dưỡng
organism	sinh vật
unravel	gỡ rối
aid	sự giúp đỡ
digestion	tiêu hóa
regulate	điều chỉnh
eliminate	loại bỏ
decidedly	chắc chắn
unglamorous	không hào nhoáng
distaste	không ưa
misleading	gây hiểu lầm
wisdom	khôn ngoan
alteration	sự thay đổi
relate to	liên quan đến
revere	tôn kính
finding	tìm kiếm
cumulatively	tích lũy
offer	lời đề nghị
come up with	nghĩ ra
framework	khung
confront	đối mặt
recession	suy thoái
incident	sự cố
crystallize	kết tinh
openness	sự cởi mở
agreeableness	sự dễ chịu
truly	thực sự
empirical	thực nghiệm
exceptional	đặc biệt
philosopher	nhà triết học
appear to	có vẻ như
unreliable	không đáng tin cậy
criteria	tiêu chuẩn
experiential	trải nghiệm
characterize	đặc trưng
solely	chỉ
unfold	mở ra
encounter	bắt gặp
reliable	đáng tin cậy
adopt	nhận nuôi
feature	tính năng
broadly	nhìn chung
interpersonal	mối quan hệ giữa các cá nhân
justice	công lý
impartiality	vô tư
expansive	rộng lớn
foster	nuôi dưỡng
cognitive	nhận thức
observer	người quan sát
viewpoint	quan điểm
regarding	về
modesty	sự khiêm tốn
sensitivity	độ nhạy
integration	tích hợp
intellectual	trí tuệ
humility	sự khiêm nhường
recognition	sự công nhận
compromise	thỏa hiệp
extent	mức độ
broad	rộng
regard	về
objectivity	tính khách quan
fairness	sự công bằng
prospect	triển vọng
instruct	hướng dẫn
distant	xa xôi
display	trưng bày
visualize	hình dung
unresolved	chưa được giải quyết
outsider	người ngoài
detached	tách rời
egocentric	vị kỷ
likelihood	xác suất
remarkable	đáng chú ý
affective	cảm xúc
generalize	khái quát hóa
retaliate	trả đũa
conquer	chinh phục
pass on to	chuyển tiếp cho
craftsman	thợ thủ công
stitch	mũi khâu
dominate	thống trị
eventually	sau cùng
navy	hải quân
rower	người chèo thuyền
contrary	trái ngược
perception	sự nhận thức
lightweight	nhẹ
speedy	nhanh chóng
pierce	khoan
dominant	trội
interior	nội thất
stability	sự ổn định
underwater	dưới nước
coast	bờ biển
triangular	hình tam giác
bow	cây cung
instrument	dụng cụ
oarsman	người chèo thuyền
agricultural	nông nghiệp
goods	hàng hóa
port	cảng
cargo	hàng hóa
gigantic	khổng lồ
pull	sự lôi kéo
shore	bờ biển
intercept	chặn
drag	lôi kéo
quay	bến tàu
merchant	thương nhân
warship	tàu chiến
remain	duy trì
afloat	nổi trên mặt nước
steer	lái
landmark	cột mốc
navigate	điều hướng
route	tuyến đường
sophisticated	cầu kì
clue	manh mối
unequalled	vô song
excess	thặng dư
sink	bồn rửa
cripple	tàn tật
supersede	thay thế
vary	thay đổi
phenomenon	hiện tượng
visibility	khả năng hiển thị
mainland	đất liền
facilitate	tạo điều kiện
succession	sự kế tiếp
mariner	thủy thủ
accuracy	sự chính xác
resemble	giống
thaw out	rã đông
degradation	sự suy thoái
stationary	cố định
rescue	giải thoát
melt	tan chảy
traverse	đi qua
harvest	mùa gặt
site	địa điểm
misplace	thất lạc
discard	loại bỏ
arrow	mũi tên
hike	đi lang thang
fieldwork	công việc thực địa
widespread	phổ biến
crop	mùa vụ
retreat	rút lui
artifact	hiện vật
disintegrate	tan rã
shrink	thu nhỏ
decay	sự phân rã
textile	vải dệt
settlement	giải quyết
radiocarbon dating	định tuổi bằng đồng vị carbon phóng xạ
daunting	đáng sợ
terrain	địa hình
elevation	độ cao
venture	mạo hiểm
apparently	rõ ràng
statement	tuyên bố
primarily	chủ yếu
thermometer	nhiệt kế
molecule	phân tử
yield	năng suất
thermal	nhiệt
laboratory	phòng thí nghiệm
activate	kích hoạt
state	tình trạng
revert to	quay lại
inactivity	không hoạt động
suppress	kìm nén
accelerate	tăng tốc
reversion	sự đảo ngược
detach	tách rời
specialist	chuyên gia
uniquely	độc đáo
collaborator	cộng tác viên
unpredictable	không thể dự đoán được
breed	giống
resilient	đàn hồi
dual	hai
bud	nụ
considerable	đáng kể
soak	ngâm
culmination	đỉnh điểm
sense	giác quan
detect	phát hiện
dictate	ra lệnh
proportional	tỷ lệ
stimulate	kích thích
pinpoint	chính xác
mechanism	cơ chế
bind	liên kết
evolve	tiến hóa
indicator	chỉ báo
advance	nâng cao
vertical	thẳng đứng
interval	khoảng thời gian
flow	chảy
canal	kênh đào
ventilation	thông gió
lid	nắp
excavation	moi lên
alternative	thay thế
straightforward	đơn giản
geometry	hình học
adjustment	điều chỉnh
geological	địa chất
deviation	sai lệch
penetrate	xuyên thấu
inscription	dòng chữ
aqueduct	cống dẫn nước
mineral	khoáng chất
mine	của tôi
trace	dấu vết
extraction	chiết xuất
patron	người bảo trợ
harbor	cảng
divert	chuyển hướng
threaten	hăm dọa
civilization	nền văn minh
territory	lãnh thổ
dig	đào
drain	làm khô hạn
crack	nứt
progress	tiến triển
rate	tỷ lệ
shaft	trục
hidden	ẩn giấu
pacifier	núm vú giả
toddler	trẻ mới biết đi
hunch	linh cảm
passenger	hành khách
unbeknown to somebody	không ai hay biết
transformation	sự biến đổi
underlie	nằm bên dưới
subtly	một cách tinh tế
implication	hàm ý
scholar	học giả
err	lỗi
disrupt	làm gián đoạn
diminish	giảm bớt
inborn	bẩm sinh
medium	trung bình
adjust	điều chỉnh
genetic	di truyền
blueprint	bản thiết kế
dense	dày đặc
multiple	nhiều
trouble	rắc rối
comprehension	sự hiểu biết
thorough	kỹ lưỡng
plot	kịch bản
universal	phổ quát
pattern	mẫu
recall	nhớ lại
superior	thượng đẳng
particularly	cụ thể
sequence	sự liên tiếp
reconstruct	tái tạo
isolated	cô lập
browse	duyệt
superficial	bề mặt
allocate	phân bổ
grasp	nắm bắt
complexity	độ phức tạp
perceive	nhận thức
neuroscience	khoa học thần kinh
rectify	sửa chữa
possess	sở hữu
redress	bồi thường
entrench	củng cố
extraordinary	đặc biệt
caution	thận trọng
acquisition	sự mua lại
literacy	khả năng đọc viết
necessitate	cần thiết
decode	giải mã
herd	đàn
elaborate	phức tạp
depict	mô tả
internalize	nội tâm hóa
inference	suy luận
empathy	sự đồng cảm
critical	phê bình
comprehend	hiểu
demanding	đòi hỏi
unintended	không mong muốn
subtle	tinh tế
atrophy	teo
equally	như nhau
bombardment	sự bắn phá
incentivize	khuyến khích
susceptible	dễ bị tổn thương
imply	ngụ ý
superiority	ưu thế
projection	phép chiếu
stroke	đột quỵ
reluctant	miễn cưỡng
distrust	sự nghi ngờ
contradict	mâu thuẫn
competent	có năng lực
suspicion	nghi ngờ
disbelief	sự hoài nghi
seemingly	có vẻ như
outlandish	kỳ lạ
reluctance	sự miễn cưỡng
reliability	độ tin cậy
foolproof	không thể sai lầm
unfamiliar	không quen
technically	về mặt kỹ thuật
acutely	cấp tính
disproportionate	không cân xứng
divergence	sự phân kỳ
biased	thiên vị
manner	thái độ
tendency	xu hướng
polarise	phân cực
enthusiasm	sự nhiệt tình
sceptic	người hoài nghi
guarded	được canh gác
pertinently	liên quan
fortunately	may mắn thay
serve	phục vụ
transparency	minh bạch
surveillance	giám sát
disclosure	tiết lộ
mistrustful	nghi ngờ
devote	cống hiến
inaccurate	không chính xác
subjective	chủ quan
portrayal	sự miêu tả
one another	lẫn nhau
come about	xảy ra
get on	lên
orientate	định hướng
turning area	khu vực quay đầu
look (out) onto (something)	nhìn (ra) vào (cái gì đó)
hand sth in	đưa thứ gì đó vào
falcon	chim ưng
fish hawk	chim ưng cá
swoop	lao xuống
talon	móng vuốt
kingfisher	chim bói cá
perch upon	đậu trên
reed	cây lau
ambiguous	mơ hồ
lizard	thằn lằn
fist	nắm đấm
triumph	chiến thắng
ardent	nhiệt thành
consoling	an ủi
hillsides	sườn đồi
scatter	tiêu tan
chalk	phấn
downland	vùng đất thấp
regimental	trung đoàn
badge	huy hiệu
priory	tu viện
scour	tẩy rửa
millennia / millennium	thiên niên kỷ / thiên niên kỷ
spiral	hình xoắn ốc
cosmology	vũ trụ học
mosaic	tranh khảm
turf	cỏ
wellness	sức khỏe
pamphlet	tờ rơi
sketchy	sơ sài
convict	tù nhân
sack	bao
inquisitive	tò mò
veterinary	thú y
stagger	loạng choạng
hardwearing	bền bỉ
electrolyte	chất điện giải
congest	tắc nghẽn
overground	trên mặt đất
slum	khu ổ chuột
proposal	đề xuất
arch	vòm
locomotive	đầu máy xe lửa
canopy	tán cây
wind turbine	tuabin gió
resounding	vang dội
meadow	đồng cỏ
manhunt	cuộc truy lùng
evade	né tránh
retell	kể lại
preposterous	vô lý
dignity	phẩm giá
appal	kinh hoàng
chivalry	tinh thần hiệp sĩ
regime	chế độ
subterfuge	mưu mẹo
alliance	liên minh
conspiracy	âm mưu
monarchy	chế độ quân chủ
deceit	lừa dối
mono-functional	đơn chức năng
emblematic	mang tính biểu tượng
amphitheatre	đấu trường
fortress	pháo đài
depot	kho
revert	hoàn tác
embed	nhúng
sportperson	vận động viên
one-off	một lần
weed	cần sa
conservatory	nhà kính
groom	chú rể
carriage	xe
horse-drawn	xe ngựa kéo
dimly	mờ ảo
tension	căng thẳng
intensify	tăng cường
staggering	choáng váng
computer-based	dựa trên máy tính
web browser	trình duyệt web
toss	quăng
shattered	vỡ vụn
antiquity	cổ đại
dealer	đại lý
devout	sùng đạo
siege	cuộc vây hãm
sectarian	người theo giáo phái
cache	bộ nhớ đệm
archbishop	tổng giám mục
parchment	giấy da
genome	bộ gen
devastate	tàn phá
sprawling	trải rộng
realm	vương quốc
cumulative	tích lũy
postulate	giả thuyết
periodic	định kỳ
fanciful	kỳ ảo
atom	nguyên tử
glean	thu thập
confer	trao
shrewd	thông minh
outrun	vượt qua
foresee	dự đoán
serendipity	sự tình cờ
invoke	gọi
provenance	nguồn gốc
aspire	khát vọng
skepticism	chủ nghĩa hoài nghi
parental	cha mẹ
inspect	thanh tra
spear	thương
ornithology	nghiên cứu chim
stork	con cò
harassment	quấy rối
marsupial	thú có túi
resemblance	sự giống nhau
distend	giãn nở
nocturnal	ban đêm
crawl	bò
teat	núm vú
rust	rỉ sét
unheralded	không được biết đến
subterranean	dưới lòng đất
tenement	nhà trọ
enclave	khu vực biệt lập
waterfront	bờ sông
skeletal	bộ xương
footage	cảnh quay
exuberance	sự hưng phấn
epilogue	phần kết
monoculture	độc canh
boycott	tẩy chay
contention	tranh cãi
sequester	cô lập
virgin	trinh nữ
sterile	vô trùng
epiphytic	sống bám trên cây
keystone	viên đá chủ chốt
refrigerate	làm lạnh
grubby	bẩn thỉu
resentful	oán giận
brewery	nhà máy bia
boo	boo
jeer	chế giễu
syrup	siro
partial	một phần
gritty	thô ráp
bucket	xô
ladder	thang
acrophobia	chứng sợ độ cao
lodging	chỗ ở
handheld	cầm tay
fizzy	sủi bọt
surgeon	bác sĩ phẫu thuật
tactic	chiến thuật
sane	tỉnh táo
tacit	ngầm
interrelationship	mối quan hệ tương hỗ
illusory	ảo ảnh
bankrupt	phá sản
bear the cost	chịu chi phí
intersect	giao nhau
agenda	chương trình nghị sự
specify	chỉ định
constituency	khu vực bầu cử
incidental	ngẫu nhiên
modest	khiêm tốn
insectivorous	ăn côn trùng
swarm	đàn
suppressor	bộ giảm thanh
caterpillar	sâu bướm
ultrasonic	siêu âm
parish	giáo xứ
census	điều tra dân số
conundrum	câu đố
causal	nguyên nhân
mediocre	tầm thường
scarlet	đỏ tươi
bodice	thân áo
numeracy	khả năng tính toán
industriousness	sự siêng năng
chastise	khiển trách
spinster	người phụ nữ chưa chồng
reprimand	khiển trách
weaver	thợ dệt
summon	triệu hồi
defiance	sự thách thức
legislate	lập pháp
check-up	kiểm tra sức khỏe
fundraising	gây quỹ
out-of-school	ngoài trường học
garment	quần áo
poacher	kẻ săn trộm
ivory	ngà voi
poach	săn trộm
hunger	đói
afield	ngoài đồng
knock down	đánh đổ
round up	làm tròn
direct someone to	hướng dẫn ai đó đến
immobilize	bất động
maneuver	thao tác
tranquiliser	thuốc an thần
dart	phi tiêu
suffocation	ngạt thở
collar	cổ áo
matriarch	người đứng đầu gia tộc
tusk	răng nanh
load onto	tải lên
big draw	thu hút lớn
catastrophic	thảm họa
terminology	thuật ngữ
blame	đổ tội
haze	sương mù 
drift	trôi dạt
fallout	hậu quả
famine	nạn đói
snowbound	bị bao phủ bởi tuyết
briefcase	cặp tài liệu
breeches	quần ống rộng
waistcoat	áo vest
whichever	bất kỳ
lining	niêm mạc
embroidery	thêu
petticoat	váy lót
sew	may
bulky	cồng kềnh
detract from	làm giảm bớt
inevitably	không thể tránh khỏi
socialize	giao tiếp xã hội
trample	giẫm đạp
protest	phản kháng
foreseeable	có thể dự đoán được
clerk	nhân viên văn phòng
constellation	chòm sao
collide	va chạm
spacecraft	tàu vũ trụ
rucksack	ba lô
exile	lưu đày
tapestry	tấm thảm
bear	con gấu
resplendently	rực rỡ
aubergine	cà tím
consultant	tư vấn
sprout	mầm
dangle	theo
peppermint	bạc hà
sage	cây xô thơm
basil	húng quế
chard	cải cầu vồng
aeroponic	khí canh
consultancy	tư vấn
field	cánh đồng
bioenergy	năng lượng sinh học
landowner	chủ đất
combustion	sự cháy
gasify	khí hóa
stem	thân cây
hemlock	cây độc cần
adelgid	rệp sáp
cavity	khoang
fraud	gian lận
smash into	đâm vào
shrapnel	mảnh đạn
compile	biên dịch
taxonomy	phân loại
cascade	thác nước
astrodynamical	động lực học thiên thể
abide	tuân thủ
vastness	sự rộng lớn
authoritative	có thẩm quyền
catalogue	danh mục
designate	chỉ định
undo	hoàn tác
ancient	cổ đại
architecture	ngành kiến ​​​​trúc
artwork	tác phẩm nghệ thuật
masterpiece	kiệt tác
gallery	phòng trưng bày
painting	bức vẽ
portrait	chân dung
abstract	tóm tắt
realistic	thực tế
museum	bảo tàng
cultural	thuộc văn hóa
ancient ruins	tàn tích cổ xưa
temple	ngôi đền
statue	bức tượng
symbol	biểu tượng
creative	sáng tạo
imagination	trí tưởng tượng
design	thiết kế
color	màu sắc
shape	hình dạng
museum guide	hướng dẫn viên bảo tàng
modern art	nghệ thuật hiện đại
traditional	truyền thống
style	phong cách
museum ticket	vé bảo tàng
mural	tranh tường
artistic expression	biểu hiện nghệ thuật
 substance 	 chất 
 aggravate 	làm trầm trọng thêm
 scramble 	sự xáo trộn
 commodity 	hàng hóa
 underpin 	nền tảng
 mouldable 	có thể uốn nặn
 pourable 	có thể rót
 thermal 	nhiệt
 reinforce 	củng cố
 susceptible 	dễ bị tổn thương
 cross-laminated 	nhiều lớp chéo
 adhesive 	keo dán
 solid-saw 	cưa rắn
 crosswise 	theo chiều ngang
 vice-president 	phó chủ tịch
 byproduct 	sản phẩm phụ
 durability 	độ bền
 factor 	 nhân tố 
 conventional 	thông thường
 viable 	khả thi
 miniaturized 	thu nhỏ
 reservoir 	hồ chứa
 replenishment 	bổ sung
 shuttle 	xe đưa đón
 backfire 	phản tác dụng
 rekindle 	khơi lại
 wreck 	vụ tai nạn
 reconfigure 	cấu hình lại
 prototype 	 nguyên mẫu 
 combustion 	sự cháy
 accelerate 	tăng tốc
 feat 	thành tích
 ignition 	đánh lửa
 eliminate 	 loại bỏ 
 manually 	thủ công
 ignite 	đốt cháy
 eagerly 	háo hức
 await 	 chờ đợi 
 modern 	 hiện đại 
 sluggish 	chậm chạp
 erratic 	thất thường
 plague 	bệnh dịch hạch
 glitch 	lỗi
 frosty 	băng giá
 negligible 	không đáng kể
 tinker 	thợ sửa chữa
 adamant 	kiên quyết
 extract 	chiết xuất
 literacy 	khả năng đọc viết
 tentative 	dự kiến
 textual 	văn bản
 moderation 	sự điều độ
 virtue 	đức hạnh
 diagnose 	chẩn đoán
 attainment 	sự đạt được
 analogy 	tương tự
 bum out 	bỏ đi
 straggler 	kẻ lạc đàn
 stroll 	đi dạo
 mediocrity 	sự tầm thường
 paradigm 	mô hình
 arguably 	có thể nói
 constructivism 	chủ nghĩa kiến ​​tạo
 autonomous 	tự động
 madness 	điên rồ
 aptitude for sth 	năng khiếu về cái gì đó
 empirical 	thực nghiệm
 assign sth to someone 	giao việc gì đó cho ai đó
 entrench 	củng cố
 constructivist 	người theo chủ nghĩa kiến ​​tạo
 reluctant 	 miễn cưỡng 
 reputation 	 danh tiếng 
 displacement 	sự dịch chuyển
pave the way for	mở đường cho
greenery	cây xanh
mainstream	chính thống
retrofit	cải tạo
disruption	sự gián đoạn
worthwhile	đáng giá
innate	bẩm sinh
supplant	thay thế
revolt	cuộc nổi dậy
inherent	vốn có
coax	cáp đồng trục
indication	chỉ dẫn
instill	truyền đạt
infer	suy luận
impediment	trở ngại
dissonance	sự bất hòa
applaud	vỗ tay
intervention	sự can thiệp
misapply	áp dụng sai
conflate	gộp chung
elixir	thuốc trường sinh
deluded	ảo tưởng
laterally	theo chiều ngang
gravel	sỏi
compass	la bàn
requirement	yêu cầu
rhythm	nhịp điệu
tempo	nhịp độ
educational	giáo dục
self-confidence	sự tự tin
invoice	hóa đơn
sickness	bệnh tật
association	sự kết hợp
footbridge	cầu đi bộ
venue	địa điểm
mobile	điện thoại di động
adventure	cuộc phiêu lưu
fork	cái nĩa
right-hand	tay phải
stale	cũ
paste	dán
appetising	hấp dẫn
pleased	vừa lòng
touch-sensitive	cảm ứng
bump	đâm sầm vào
impaired	bị suy giảm
freshness	sự tươi mát
intolerance	không khoan dung
diagnose	chẩn đoán
ready-made	làm sẵn
indicate	biểu thị
bog	đầm lầy
insert	chèn
saturated	bão hòa
acidity	độ axit
assume	cho rằng
paddock	bãi chăn thả
rotational	luân phiên
abandonment	bỏ rơi
rotation	xoay
roundabout	vòng xoay
tune	giai điệu
strumming	gảy đàn
plectrum	miếng gảy đàn
fund	quỹ
generous	hào phóng
assessment	đánh giá
short-sighted	cận thị
